Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     1155.39           90369.65             1134.77             2002.40               20.62                0.96            51197.70



Scenario           Profit              Sales               Leftover_inv        demand
s320            92431.33                    1155.39                0.00             2097.44
s321            92431.33                    1155.39                0.00             3988.47
s322            92431.33                    1155.39                0.00             3661.53
s323            92431.33                    1155.39                0.00             4011.89
s324            92431.33                    1155.39                0.00             4058.98
s325            92431.33                    1155.39                0.00             3365.44
s326            92431.33                    1155.39                0.00             3238.29
s327            85909.90                    1090.18               65.21             1090.18
s328            92431.33                    1155.39                0.00             1819.31
s329            92431.33                    1155.39                0.00             3814.09
s330            92431.33                    1155.39                0.00             2375.67
s331            92431.33                    1155.39                0.00             5231.73
s332            92431.33                    1155.39                0.00             4741.49
s333            92431.33                    1155.39                0.00             4013.90
s334            92431.33                    1155.39                0.00             2009.74
s335            92431.33                    1155.39                0.00             2446.97
s336            92431.33                    1155.39                0.00             3625.91
s337            92431.33                    1155.39                0.00             3998.73
s338            92431.33                    1155.39                0.00             4242.66
s339            92431.33                    1155.39                0.00             3269.02
s340            92431.33                    1155.39                0.00             4716.48
s341            92431.33                    1155.39                0.00             3750.90
s342            92431.33                    1155.39                0.00             3309.51
s343            92431.33                    1155.39                0.00             2133.63
s344            92431.33                    1155.39                0.00             1486.21
s345            92431.33                    1155.39                0.00             3311.18
s346            92431.33                    1155.39                0.00             3535.61
s347            92431.33                    1155.39                0.00             3813.00
s348            92431.33                    1155.39                0.00             2619.32
s349            92431.33                    1155.39                0.00             2046.53
s350            92431.33                    1155.39                0.00             2852.78
s351            92431.33                    1155.39                0.00             3179.47
s352            92431.33                    1155.39                0.00             2601.50
s353            92431.33                    1155.39                0.00             1509.77
s354            92431.33                    1155.39                0.00             3823.64
s355            92431.33                    1155.39                0.00             3571.74
s356            92431.33                    1155.39                0.00             3875.39
s357            92431.33                    1155.39                0.00             4280.25
s358            92431.33                    1155.39                0.00             2852.04
s359            92431.33                    1155.39                0.00             4265.23
s360            59413.44                     825.21              330.18              825.21
s361            92431.33                    1155.39                0.00             1375.37
s362            92431.33                    1155.39                0.00             4491.66
s363            92431.33                    1155.39                0.00             2413.32
s364            92431.33                    1155.39                0.00             1933.66
s365            92431.33                    1155.39                0.00             3642.06
s366            92431.33                    1155.39                0.00             2738.89
s367            92431.33                    1155.39                0.00             2955.03
s368            92431.33                    1155.39                0.00             2842.44
s369            92431.33                    1155.39                0.00             3265.33
s370            92431.33                    1155.39                0.00             3466.06
s371            92431.33                    1155.39                0.00             3056.62
s372            92431.33                    1155.39                0.00             3505.10
s373            92431.33                    1155.39                0.00             3691.91
s374            92431.33                    1155.39                0.00             2614.83
s375            92431.33                    1155.39                0.00             2408.88
s376            92431.33                    1155.39                0.00             4552.70
s377            92431.33                    1155.39                0.00             3847.04
s378            92431.33                    1155.39                0.00             3021.95
s379            92431.33                    1155.39                0.00             2600.60
s380            92431.33                    1155.39                0.00             2598.04
s381            92431.33                    1155.39                0.00             1615.59
s382            92431.33                    1155.39                0.00             4346.74
s383            92431.33                    1155.39                0.00             2121.17
s384            92431.33                    1155.39                0.00             4960.92
s385            92431.33                    1155.39                0.00             3457.29
s386            92431.33                    1155.39                0.00             2442.16
s387            92431.33                    1155.39                0.00             3314.15
s388            92431.33                    1155.39                0.00             4276.88
s389            92431.33                    1155.39                0.00             3432.38
s390            92431.33                    1155.39                0.00             4652.09
s391            92431.33                    1155.39                0.00             3111.07
s392            92431.33                    1155.39                0.00             3154.04
s393            92431.33                    1155.39                0.00             1317.13
s394            92431.33                    1155.39                0.00             2136.47
s395            92431.33                    1155.39                0.00             3474.49
s396            92431.33                    1155.39                0.00             2025.20
s397            92431.33                    1155.39                0.00             3377.13
s398            92431.33                    1155.39                0.00             4474.91
s399            92431.33                    1155.39                0.00             2306.50
s400            92431.33                    1155.39                0.00             2098.96
s401            92431.33                    1155.39                0.00             4365.52
s402            92431.33                    1155.39                0.00             3741.04
s403            92431.33                    1155.39                0.00             2648.38
s404            92431.33                    1155.39                0.00             4094.50
s405            92431.33                    1155.39                0.00             1986.02
s406            92431.33                    1155.39                0.00             3606.30
s407            92431.33                    1155.39                0.00             3366.76
s408            92431.33                    1155.39                0.00             2045.87
s409            92431.33                    1155.39                0.00             2632.62
s410            92431.33                    1155.39                0.00             2849.03
s411            92431.33                    1155.39                0.00             2494.79
s412            51195.76                     743.04              412.36              743.04
s413            92431.33                    1155.39                0.00             3120.20
s414            92431.33                    1155.39                0.00             3460.91
s415            92431.33                    1155.39                0.00             3868.88
s416            92431.33                    1155.39                0.00             3639.56
s417            92431.33                    1155.39                0.00             3375.56
s418            92431.33                    1155.39                0.00             3638.73
s419            92431.33                    1155.39                0.00             4999.04
s420            50609.39                     737.17              418.22              737.17
s421            92431.33                    1155.39                0.00             2760.80
s422            92431.33                    1155.39                0.00             1662.55
s423            92431.33                    1155.39                0.00             3469.41
s424            92431.33                    1155.39                0.00             3764.48
s425            92431.33                    1155.39                0.00             3021.03
s426            92431.33                    1155.39                0.00             2291.80
s427            92431.33                    1155.39                0.00             1788.76
s428            92431.33                    1155.39                0.00             2629.79
s429            92431.33                    1155.39                0.00             4474.03
s430            92431.33                    1155.39                0.00             2838.75
s431            92431.33                    1155.39                0.00             2177.73
s432            92431.33                    1155.39                0.00             2708.40
s433            92431.33                    1155.39                0.00             1633.83
s434            92431.33                    1155.39                0.00             3809.33
s435            90874.81                    1139.83               15.57             1139.83
s436            92431.33                    1155.39                0.00             2767.47
s437            92431.33                    1155.39                0.00             3093.50
s438            92431.33                    1155.39                0.00             4122.92
s439            92431.33                    1155.39                0.00             2944.97
s440            92431.33                    1155.39                0.00             1967.31
s441            31963.57                     550.71              604.68              550.71
s442            92431.33                    1155.39                0.00             2071.78
s443            92431.33                    1155.39                0.00             3659.06
