Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     3460.04          213636.38             2828.37              308.81              631.67                0.40           192580.81



Scenario           Profit              Sales               Leftover_inv        demand
s518           197147.19                    2663.48              796.56             2663.48
s519           276803.08                    3460.04                0.00             4059.48
s520           276803.08                    3460.04                0.00             4541.30
s521           188727.61                    2579.28              880.75             2579.28
s522           276803.08                    3460.04                0.00             3507.74
s523           148661.71                    2178.62             1281.41             2178.62
s524           178141.32                    2473.42              986.62             2473.42
s525           276803.08                    3460.04                0.00             5093.49
s526           276803.08                    3460.04                0.00             4286.58
s527           276803.08                    3460.04                0.00             4157.60
s528            78241.40                    1474.42             1985.62             1474.42
s529           214032.39                    2832.33              627.71             2832.33
s530           276803.08                    3460.04                0.00             4563.53
s531           276803.08                    3460.04                0.00             4719.79
s532           276803.08                    3460.04                0.00             4085.64
s533           276803.08                    3460.04                0.00             3501.71
s534           276803.08                    3460.04                0.00             3799.83
s535           109350.40                    1785.51             1674.53             1785.51
s536           276803.08                    3460.04                0.00             4811.28
s537           -59610.40                      95.90             3364.13               95.90
s538           276803.08                    3460.04                0.00             4215.52
s539           276803.08                    3460.04                0.00             3571.54
s540           276803.08                    3460.04                0.00             7522.15
s541           172685.86                    2418.87             1041.17             2418.87
s542           193517.22                    2627.18              832.86             2627.18
s543           139156.65                    2083.57             1376.46             2083.57
s544           217575.25                    2867.76              592.28             2867.76
s545           276803.08                    3460.04                0.00             5482.97
s546           276803.08                    3460.04                0.00             5798.91
s547           276803.08                    3460.04                0.00             3490.85
s548           182569.92                    2517.71              942.33             2517.71
s549           180711.31                    2499.12              960.92             2499.12
s550           249252.07                    3184.53              275.51             3184.53
s551           221685.32                    2908.86              551.18             2908.86
s552           276803.08                    3460.04                0.00             4173.97
s553           276803.08                    3460.04                0.00             3492.64
s554           276803.08                    3460.04                0.00             3513.33
s555           165674.28                    2348.75             1111.29             2348.75
s556           246229.20                    3154.30              305.74             3154.30
s557           222415.87                    2916.17              543.87             2916.17
s558           276803.08                    3460.04                0.00             4101.17
s559           187846.36                    2570.47              889.57             2570.47
s560           271937.77                    3411.39               48.65             3411.39
s561           112617.26                    1818.18             1641.86             1818.18
s562           205408.42                    2746.09              713.95             2746.09
s563           276803.08                    3460.04                0.00             3901.73
s564           276803.08                    3460.04                0.00             5689.53
s565           110370.92                    1795.72             1664.32             1795.72
s566           276803.08                    3460.04                0.00             3905.11
s567           251706.42                    3209.07              250.97             3209.07
s568           257044.10                    3262.45              197.59             3262.45
s569           276803.08                    3460.04                0.00             3744.22
s570           197737.80                    2669.39              790.65             2669.39
s571           240102.67                    3093.03              367.00             3093.03
s572           269118.19                    3383.19               76.85             3383.19
s573            87854.54                    1570.55             1889.49             1570.55
s574           186941.92                    2561.43              898.61             2561.43
s575           156712.40                    2259.13             1200.91             2259.13
s576           276803.08                    3460.04                0.00             3750.27
s577           207857.76                    2770.59              689.45             2770.59
s578           276803.08                    3460.04                0.00             4654.49
s579           276803.08                    3460.04                0.00             4768.81
s580           276803.08                    3460.04                0.00             4351.39
s581            93997.69                    1631.98             1828.05             1631.98
s582           227481.03                    2966.82              493.22             2966.82
s583           276803.08                    3460.04                0.00             5124.28
s584           276803.08                    3460.04                0.00             4248.87
