Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     2184.20          162559.11             2062.43             1074.75              121.77                0.80           126027.54



Scenario           Profit              Sales               Leftover_inv        demand
s353           107292.55                    1509.77              674.44             1509.77
s354           174736.30                    2184.20                0.00             3823.64
s355           174736.30                    2184.20                0.00             3571.74
s356           174736.30                    2184.20                0.00             3875.39
s357           174736.30                    2184.20                0.00             4280.25
s358           174736.30                    2184.20                0.00             2852.04
s359           174736.30                    2184.20                0.00             4265.23
s360            38837.19                     825.21             1358.99              825.21
s361            93853.29                    1375.37              808.83             1375.37
s362           174736.30                    2184.20                0.00             4491.66
s363           174736.30                    2184.20                0.00             2413.32
s364           149682.36                    1933.66              250.54             1933.66
s365           174736.30                    2184.20                0.00             3642.06
s366           174736.30                    2184.20                0.00             2738.89
s367           174736.30                    2184.20                0.00             2955.03
s368           174736.30                    2184.20                0.00             2842.44
s369           174736.30                    2184.20                0.00             3265.33
s370           174736.30                    2184.20                0.00             3466.06
s371           174736.30                    2184.20                0.00             3056.62
s372           174736.30                    2184.20                0.00             3505.10
s373           174736.30                    2184.20                0.00             3691.91
s374           174736.30                    2184.20                0.00             2614.83
s375           174736.30                    2184.20                0.00             2408.88
s376           174736.30                    2184.20                0.00             4552.70
s377           174736.30                    2184.20                0.00             3847.04
s378           174736.30                    2184.20                0.00             3021.95
s379           174736.30                    2184.20                0.00             2600.60
s380           174736.30                    2184.20                0.00             2598.04
s381           117874.62                    1615.59              568.62             1615.59
s382           174736.30                    2184.20                0.00             4346.74
s383           168432.61                    2121.17               63.04             2121.17
s384           174736.30                    2184.20                0.00             4960.92
s385           174736.30                    2184.20                0.00             3457.29
s386           174736.30                    2184.20                0.00             2442.16
s387           174736.30                    2184.20                0.00             3314.15
s388           174736.30                    2184.20                0.00             4276.88
s389           174736.30                    2184.20                0.00             3432.38
s390           174736.30                    2184.20                0.00             4652.09
s391           174736.30                    2184.20                0.00             3111.07
s392           174736.30                    2184.20                0.00             3154.04
s393            88028.48                    1317.13              867.08             1317.13
s394           169963.10                    2136.47               47.73             2136.47
s395           174736.30                    2184.20                0.00             3474.49
s396           158835.46                    2025.20              159.01             2025.20
s397           174736.30                    2184.20                0.00             3377.13
s398           174736.30                    2184.20                0.00             4474.91
s399           174736.30                    2184.20                0.00             2306.50
s400           166211.96                    2098.96               85.24             2098.96
s401           174736.30                    2184.20                0.00             4365.52
s402           174736.30                    2184.20                0.00             3741.04
s403           174736.30                    2184.20                0.00             2648.38
s404           174736.30                    2184.20                0.00             4094.50
